neighborhood_id,period,monthly_rent,monthly_utilities,monthly_commute_cost,monthly_income
N001,2026-05,18305.75,2584.4,4168.5,47856.0
N001,2026-06,18416.75,2594.8,4189.5,47952.0
N001,2026-07,18527.75,2605.2,4210.5,48048.0
N001,2026-08,18638.75,2615.6,4231.5,48144.0
N002,2026-05,20305.25,2385.6,3573.0,51844.0
N002,2026-06,20428.25,2395.2,3591.0,51948.0
N002,2026-07,20551.25,2404.8,3609.0,52052.0
N002,2026-08,20674.25,2414.4,3627.0,52156.0
N003,2026-05,21317.25,2186.8,2779.0,60817.0
N003,2026-06,21446.25,2195.6,2793.0,60939.0
N003,2026-07,21575.25,2204.4,2807.0,61061.0
N003,2026-08,21704.25,2213.2,2821.0,61183.0
N004,2026-05,14391.25,2683.8,5061.75,38883.0
N004,2026-06,14478.25,2694.6,5087.25,38961.0
N004,2026-07,14565.25,2705.4,5112.75,39039.0
N004,2026-08,14652.25,2716.2,5138.25,39117.0
N005,2026-05,16623.6,2485.0,3870.75,44865.0
N005,2026-06,16724.4,2495.0,3890.25,44955.0
N005,2026-07,16825.2,2505.0,3909.75,45045.0
N005,2026-08,16926.0,2515.0,3929.25,45135.0
N006,2026-05,28229.25,2982.0,3275.25,71784.0
N006,2026-06,28400.25,2994.0,3291.75,71928.0
N006,2026-07,28571.25,3006.0,3308.25,72072.0
N006,2026-08,28742.25,3018.0,3324.75,72216.0
N007,2026-05,19334.25,3081.4,4664.75,46859.0
N007,2026-06,19451.25,3093.8,4688.25,46953.0
N007,2026-07,19568.25,3106.2,4711.75,47047.0
N007,2026-08,19685.25,3118.6,4735.25,47141.0
N008,2026-05,22331.25,2534.7,3473.75,57826.0
N008,2026-06,22466.25,2544.9,3491.25,57942.0
N008,2026-07,22601.25,2555.1,3508.75,58058.0
N008,2026-08,22736.25,2565.3,3526.25,58174.0
N009,2026-05,13655.1,2882.6,5558.0,35892.0
N009,2026-06,13737.9,2894.2,5586.0,35964.0
N009,2026-07,13820.7,2905.8,5614.0,36036.0
N009,2026-08,13903.5,2917.4,5642.0,36108.0
N010,2026-05,17630.9,2137.1,3176.0,49850.0
N010,2026-06,17737.7,2145.7,3192.0,49950.0
N010,2026-07,17844.5,2154.3,3208.0,50050.0
N010,2026-08,17951.3,2162.9,3224.0,50150.0
N011,2026-05,23300.25,1988.0,2481.25,65802.0
N011,2026-06,23441.25,1996.0,2493.75,65934.0
N011,2026-07,23582.25,2004.0,2506.25,66066.0
N011,2026-08,23723.25,2012.0,2518.75,66198.0
N012,2026-05,24316.25,3280.2,4764.0,55832.0
N012,2026-06,24463.25,3293.4,4788.0,55944.0
N012,2026-07,24610.25,3306.6,4812.0,56056.0
N012,2026-08,24757.25,3319.8,4836.0,56168.0
N013,2026-05,16821.5,2534.7,4267.75,42871.0
N013,2026-06,16923.5,2544.9,4289.25,42957.0
N013,2026-07,17025.5,2555.1,4310.75,43043.0
N013,2026-08,17127.5,2565.3,4332.25,43129.0
N014,2026-05,15352.75,2733.5,4466.25,40877.0
N014,2026-06,15445.75,2744.5,4488.75,40959.0
N014,2026-07,15538.75,2755.5,4511.25,41041.0
N014,2026-08,15631.75,2766.5,4533.75,41123.0
N015,2026-05,20821.5,2286.2,3970.0,53838.0
N015,2026-06,20947.5,2295.4,3990.0,53946.0
N015,2026-07,21073.5,2304.6,4010.0,54054.0
N015,2026-08,21199.5,2313.8,4030.0,54162.0
N016,2026-05,26797.5,2485.0,2878.25,67796.0
N016,2026-06,26959.5,2495.0,2892.75,67932.0
N016,2026-07,27121.5,2505.0,2907.25,68068.0
N016,2026-08,27283.5,2515.0,2921.75,68204.0
