neighborhood_id,neighborhood_name,zone,latitude,longitude,population,median_monthly_income,income_change_pct,monthly_rent,rent_growth_pct,monthly_utilities,monthly_commute_cost,average_commute_minutes
N001,Riverside,North,18.527,73.866,28500,48000,-2.5,18500,7.4,2600,4200,48
N002,Central Market,Central,18.52,73.856,41000,52000,1.2,20500,6.1,2400,3600,42
N003,Green Park,West,18.54,73.84,32000,61000,3.8,21500,5.0,2200,2800,36
N004,Hillview,East,18.544,73.89,22500,39000,-4.8,14500,8.2,2700,5100,54
N005,Lakeside,South,18.492,73.85,26000,45000,-1.9,16800,6.9,2500,3900,44
N006,Tech Corridor,North,18.568,73.912,45500,72000,4.5,28500,5.9,3000,3300,40
N007,Old Town,Central,18.515,73.835,35500,47000,-3.2,19500,7.8,3100,4700,52
N008,University Belt,West,18.548,73.827,39500,58000,0.5,22500,6.4,2550,3500,39
N009,Industrial Edge,East,18.535,73.905,24000,36000,-6.1,13800,9.2,2900,5600,58
N010,Sunrise Enclave,South,18.471,73.879,27500,50000,2.4,17800,5.7,2150,3200,38
N011,Garden District,West,18.505,73.82,30000,66000,4.0,23500,4.8,2000,2500,34
N012,Station Quarter,Central,18.529,73.851,52000,56000,-0.8,24500,8.8,3300,4800,55
N013,Canal View,North,18.558,73.875,33500,43000,-2.2,17000,7.0,2550,4300,50
N014,Meadow Junction,South,18.482,73.861,24500,41000,-5.0,15500,7.9,2750,4500,57
N015,Airport Link,East,18.578,73.916,30000,54000,2.1,21000,5.6,2300,4000,43
N016,Civic Heights,Central,18.533,73.848,47000,68000,1.0,27000,6.2,2500,2900,37
